field_2,n,area,density
"37",62,5072547.47844815,1.22226554336693e-05
"25",72,1268137.04625988,5.67761979766696e-05
"257",35,1268136.91972065,2.7599543437084e-05
"389",3,1268137.04625982,2.36567491569468e-06
"52",85,1268136.91972065,6.70274626329183e-05
"14",60,1268136.91972065,4.73135030350012e-05
"184",156,4953.66169720516,0.0314918558302063
"372",181,5072547.73152649,3.56822665019125e-05
"110",107,1268136.81950366,8.43757537470434e-05
"125",205,1268136.81950343,0.000161654481478011
"344",64,1268136.91972077,5.04677365706632e-05
"357",128,5072547.47844899,2.523386928241e-05
"196",131,5072547.47844887,2.58252880937171e-05
"460",78,317034.198295355,0.000246030240331782
"157",134,5072547.93196046,2.64167045432355e-05
"189",0,19814.6500790939,0
"20",100,1268136.81950366,7.8855844623405e-05
"421",86,1268137.04625982,6.78160142499141e-05
"46",171,317034.26156494,0.000539373880778412
"93",108,317034.211456329,0.000340657241702374
"284",45,1268137.04625988,3.54851237354185e-05
"416",129,5072547.73152649,2.54310076173851e-05
"325",101,1268136.81950343,7.9644403069654e-05
"152",67,5072547.47844815,1.32083534525136e-05
"228",221,317034.261564881,0.000697085541824863
"289",16,1268136.94604254,1.26169338807855e-05
"448",108,1268137.04625982,8.51642969650084e-05
"57",111,5072547.47844863,2.18824960183414e-05
"316",189,317034.261564761,0.000596150078755423
"78",82,1268136.81950366,6.46617925911921e-05
"261",107,5072547.47844899,2.10939376032646e-05
"29",90,5072547.47844815,1.77425643391974e-05
"216",132,5072547.73152697,2.60224263991824e-05
"475",43,1268137.04625952,3.3908007124965e-05
"164",5,317034.211456507,1.57711685973232e-05
"179",136,4953.66334233433,0.0274544292983609
"443",34,1268136.91972095,2.6810985053161e-05
"321",16,1268136.81950366,1.26169351397448e-05
"376",47,1268136.91972053,3.70622440440877e-05
"211",158,5072547.67888236,3.11480561647106e-05
"253",94,1268136.91972059,7.4124488088172e-05
"485",132,5072547.73152691,2.60224263991827e-05
"106",56,317034.148186922,0.000176637123540971
"238",12,1268136.91972035,9.46270060700246e-06
"121",105,5072547.9319607,2.06996565450716e-05
"348",51,5072547.93196082,1.00541188933203e-05
"84",132,1268136.91972065,0.000104089706677003
"353",14,1268136.91972059,1.10398173748341e-05
"480",46,1268136.91972035,3.62736856601761e-05
"147",56,1268136.94604284,4.4159268582739e-05
"397",82,317034.211456329,0.000258647164996247
"280",27,1268136.91972047,2.12910763657535e-05
"61",207,5072547.47844815,4.08078979801541e-05
"221",27,5072547.47844863,5.32276930175873e-06
"293",23,1268136.91972023,1.81368428300898e-05
"453",237,5072547.93196082,4.67220819160178e-05
"132",71,5072547.93196094,1.39969106161906e-05
"396",15,317034.26156497,4.73134983138914e-05
"89",107,1268136.91972065,8.43757470790854e-05
"133",102,5072547.47844899,2.01082395844204e-05
"411",40,1268137.04625982,3.15423322092624e-05
"116",111,5072547.93196046,2.18824940619339e-05
"243",112,5072547.93196034,2.2079633648078e-05
"428",222,317034.26156491,0.000700239775045724
"1",225,5072547.73152649,4.43564086349741e-05
"265",177,5072547.73152697,3.48937081261763e-05
"312",23,1268137.04625976,1.81368410203267e-05
"74",86,1268136.81950343,6.7816026376141e-05
"206",28,1268136.91972059,2.20796347496683e-05
"307",70,5072547.47844863,1.37997722638189e-05
"292",124,1268136.91972053,9.77812396056783e-05
"233",178,5072547.93196082,3.50908463335492e-05
"452",226,5072547.73152643,4.45535482289078e-05
"6",79,1268136.81950343,6.22961172525017e-05
"248",197,1268136.91972059,0.000155346001631594
"60",88,5072547.93196034,1.73482835806327e-05
"380",172,5072547.6788826,3.39080105084175e-05
"117",104,5072547.67888224,2.05025179818353e-05
"439",34,317034.26156494,0.000107243929511497
"270",69,1268137.04625952,5.44105230609904e-05
"85",59,1268136.91972065,4.65249446510845e-05
"201",97,5072547.47844863,1.91225415655776e-05
"381",181,5072547.93196034,3.56822650919832e-05
"220",98,5072547.73152649,1.93196802054554e-05
"366",165,5072547.93196034,3.25280317136863e-05
"102",122,1268136.91972077,9.62041228378267e-05
"334",120,1268136.91972065,9.46270060700023e-05
"302",167,1268136.91972071,0.00013168925011408
"260",117,5072547.93196034,2.30653315787957e-05
"349",189,5072547.67888176,3.72593836400696e-05
"28",86,5072547.47844887,1.69540059241196e-05
"38",208,5072547.67888284,4.10050359636658e-05
"160",23,1268136.91972065,1.81368428300838e-05
"392",174,5072547.678882,3.43022897003799e-05
"297",75,79258.5370467603,0.00094627030468342
"70",153,5072547.67888176,3.01623581848182e-05
"424",61,1268136.94604278,4.81020604204858e-05
"192",3,317034.211456358,9.46270115839838e-06
"407",205,5072547.47844839,4.04136187726145e-05
"429",178,317034.198295355,0.000561453625372528
"275",93,5072547.67888248,1.83339824260634e-05
"21",95,1268136.81950343,7.49130523922488e-05
"137",176,5072547.73152697,3.46965685322431e-05
"165",3,79258.5370467007,3.78508121873653e-05
"33",130,5072547.47844863,2.56281484899494e-05
"92",13,1268136.81950366,1.02512598010427e-05
"467",162,1268136.91972053,0.000127746458194515
"229",39,317034.198295385,0.000123015120165879
"484",210,5072547.67888188,4.13993151556319e-05
"252",86,1268137.04625982,6.78160142499141e-05
"197",149,5072547.73152661,2.93737994960488e-05
"361",41,5072547.73152691,8.08272335126128e-06
"65",41,1268136.81950343,3.23308962956021e-05
"435",137,5072547.47844863,2.70081257163313e-05
"97",144,1268137.04625952,0.000113552395953371
"329",14,1268136.91972059,1.10398173748341e-05
"461",82,1268136.91972053,6.46617874811744e-05
"456",170,1268136.81950372,0.000134054935859782
"324",16,1268136.94604287,1.26169338807823e-05
"285",66,1268136.91972047,5.20448533385086e-05
"224",175,5072547.47844803,3.44994306595514e-05
"317",57,317034.211456507,0.000179791322009485
"156",106,5072547.47844863,2.08967979994972e-05
"403",44,1268136.91972029,3.4696568892344e-05
"9",55,5072547.67888248,1.08426777788547e-05
"188",117,19814.6342616454,0.00590472670123786
"388",20,1268136.91972041,1.57711676783367e-05
"53",28,1268136.9460429,2.20796342913685e-05
"356",67,1268136.91972065,5.2833411722418e-05
"169",12,1268137.04625982,9.46269966277872e-06
"141",10,1268137.04625952,7.88558305231745e-06
"420",86,1268136.91972071,6.78160210168318e-05
"109",57,1268136.91972059,4.49478278832532e-05
"328",35,1268136.91972035,2.75995434370905e-05
"471",80,1268136.91972053,6.30846707133408e-05
"256",86,1268136.91972065,6.7816021016835e-05
"488",95,1268136.91972065,7.49130464720852e-05
"124",23,1268137.04625988,1.8136841020325e-05
"225",186,5072547.73152697,3.66679644715751e-05
"339",136,1268136.91972065,0.000107243940212669
"77",62,1268136.91972065,4.88906198028345e-05
"193",55,1268136.81950343,4.33707145428809e-05
"476",176,1268136.91972065,0.000138786275569337
"489",53,1268136.91972065,4.17935943475844e-05
"212",115,5072547.73152661,2.26710533023196e-05
"96",124,317034.198295325,0.000391124997450562
"393",43,1268137.04625952,3.3908007124965e-05
"457",89,317034.211456329,0.000280726801032512
"173",156,19814.6500790864,0.00787296265022877
"13",34,1268136.91972065,2.68109850531673e-05
"129",96,5072547.47844815,1.89254019618106e-05
"41",102,5072547.47844863,2.01082395844219e-05
"371",155,5072547.47844791,3.05566385841748e-05
"134",159,5072547.73152661,3.1345195435381e-05
"73",187,1268136.91972065,0.00014746041779242
"128",226,5072547.93196023,4.45535464684441e-05
"343",78,1268136.91972071,6.15075539454986e-05
"237",56,1268136.91972065,4.41592694993344e-05
"105",58,317034.261565,0.000182945526813696
"244",203,5072547.47844791,4.00193395650805e-05
"2",58,5072547.678882,1.14340965667933e-05
"266",218,5072547.47844803,4.29764336216125e-05
"360",34,5072547.67888236,6.70274626329215e-06
"205",27,1268137.04625988,2.12910742412511e-05
"311",163,1268136.91972059,0.000128535016578426
"398",28,317034.211456537,8.83185441450017e-05
"298",94,79258.5370467007,0.00118599211520411
"412",191,5072547.67888248,3.76536628320227e-05
"425",154,1268136.91972053,0.000121437991123181
"430",73,5072547.67888188,1.43911905064816e-05
"166",222,79258.5370467007,0.00280096010186503
"32",174,5072547.73152649,3.430228934438e-05
"34",177,5072547.9319607,3.48937067474065e-05
"148",94,5072547.47844863,1.85311227542711e-05
"264",181,5072547.67888248,3.56822668722309e-05
"45",88,317034.198295355,0.000277572578835857
"161",35,1268136.81950343,2.75995456181969e-05
"279",178,5072547.678882,3.50908480842967e-05
"64",18,1268136.94604284,1.41940506158804e-05
"180",98,4953.66169722378,0.0197833453291578
"296",62,317034.26156497,0.000195562459697418
"17",147,5072547.93196094,2.89795191630989e-05
"444",31,1268136.91972035,2.4445309901423e-05
"149",75,5072547.93196023,1.47854689607669e-05
"375",121,5072547.47844875,2.38538920560293e-05
"176",64,4953.6616971828,0.0129197357252712
"423",123,1268136.81950349,9.69926888868018e-05
"191",82,79258.5370467901,0.00103458886645348
"402",190,5072547.67888248,3.74565232360435e-05
"22",127,5072547.73152661,2.50367284295181e-05
"44",124,317034.26156494,0.000391124919394872
"286",17,1268137.04625982,1.34054911889365e-05
"291",71,1268137.04625988,5.59876396714381e-05
"59",161,5072547.67888236,3.17394749526481e-05
"118",30,5072547.47844815,5.91418811306581e-06
"281",235,1268136.91972023,0.000185311220220482
"204",185,1268136.91972053,0.000145883301024601
"259",61,1268136.91972059,4.81020614189201e-05
"27",45,1268137.04625958,3.54851237354269e-05
"413",153,5072547.67888224,3.01623581848154e-05
"71",170,5072547.93196046,3.35137296444033e-05
"391",129,1268137.04625976,0.000101724021374876
"12",40,5072547.73152661,7.88558375732854e-06
"445",60,1268136.91972095,4.73135030349901e-05
"382",47,5072547.73152697,9.26556091486038e-06
"54",55,1268136.81950343,4.33707145428809e-05
"313",113,317034.198295385,0.00035642842509601
"144",11,1268136.91972071,8.67414222308314e-06
"49",220,1268136.81950343,0.000173482858171524
"466",28,1268136.94604278,2.20796342913705e-05
"335",72,1268137.04625952,5.67761979766856e-05
"236",74,1268136.91972041,5.83533204098458e-05
"181",44,4953.66960588843,0.00888230413019415
"350",141,5072547.73152649,2.77966827445838e-05
"86",172,1268137.04625958,0.000135632028499854
"159",40,1268136.91972041,3.15423353566734e-05
"187",135,19814.650079079,0.00681314075500823
"406",157,1268136.94604295,0.000123803663705167
"172",4,317034.261564881,1.26169328837079e-05
"113",111,5072547.67888224,2.18824951536896e-05
"219",118,5072547.67888224,2.32624723255439e-05
"274",116,5072547.6788826,2.28681931335839e-05
"419",30,1268137.04625988,2.36567491569457e-05
"81",67,1268136.91972059,5.28334117224205e-05
"377",56,1268137.04625976,4.41592650929694e-05
"230",27,1268136.91972041,2.12910763657545e-05
"362",53,5072547.47844815,1.04483989997496e-05
"451",184,5072547.47844946,3.62736870934609e-05
"76",44,1268136.91972065,3.46965688923342e-05
"7",121,1268136.81950343,9.5415571994338e-05
"245",196,5072547.73152649,3.86393604109108e-05
"318",46,317034.148186922,0.000145094780051512
"39",156,5072547.67888248,3.07537769727515e-05
"434",51,1268136.91972041,4.02164775797586e-05
"98",224,1268136.91972065,0.000176637077997338
"303",127,1268136.91972047,0.000100146914757433
"271",140,5072547.67888248,2.75995434370847e-05
"208",207,5072547.73152709,4.08078959441714e-05
"477",224,5072547.67888236,4.41592694993365e-05
"387",233,5072547.47844803,4.59335276781455e-05
"345",72,5072547.67888224,1.41940509105014e-05
"367",126,5072547.47844946,2.483959007487e-05
"103",30,1268136.81950343,2.36567533870259e-05
"323",9,1268136.91972065,7.09702545525018e-06
"140",161,1268136.91972065,0.000126957899810586
"213",138,5072547.47844863,2.72052653201002e-05
"91",209,1268136.81950343,0.000164808715262947
"483",136,1268137.04625976,0.000107243929511497
"66",84,5072547.67888176,1.65597260622531e-05
"240",93,317034.198295295,0.000293343748087949
"251",92,1268136.91972065,7.25473713203351e-05
"155",128,5072547.73152661,2.52338680234513e-05
"198",88,5072547.67888272,1.73482844461667e-05
"108",223,1268136.91972059,0.000175848519613429
"330",221,1268136.91972041,0.00017427140284562
"462",180,1268136.91972053,0.000141940509105017
"130",149,5072547.73152661,2.93737994960488e-05
"399",14,1268136.81950343,1.10398182472788e-05
"278",103,5072547.93196082,2.03053773727841e-05
"455",164,5072547.73152697,3.23308934050447e-05
"223",122,5072547.67888176,2.40510307094629e-05
"394",24,1268136.91972053,1.89254012140022e-05
"306",66,1268137.04625982,5.20448481452829e-05
"135",73,5072547.67888284,1.43911905064788e-05
"299",81,79258.5621009022,0.00102197160600619
"226",3,317034.211456448,9.46270115839571e-06
"3",246,5072547.9319607,4.84963381913107e-05
"267",95,1268136.91972065,7.49130464720852e-05
"438",14,317034.26156497,4.41592650929653e-05
"431",54,1268137.04625982,4.25821484825042e-05
"241",79,317034.26156497,0.000249184424453161
"80",177,5072547.67888272,3.48937084883125e-05
"167",0,79258.5370466858,0
"35",190,5072547.678882,3.7456523236047e-05
"473",35,1268137.04625958,2.75995406831098e-05
"426",3,317034.26156491,9.46269966278005e-06
"162",7,317034.26156503,2.20796325464785e-05
"374",165,5072547.93196082,3.25280317136833e-05
"255",212,5072547.73152649,4.17935939138423e-05
"209",118,5072547.47844815,2.32624732447255e-05
"487",29,1268136.81950366,2.28681949407875e-05
"112",210,5072547.6788826,4.1399315155626e-05
"342",37,1268136.91972077,2.91766602049146e-05
"123",44,1268136.91972071,3.46965688923326e-05
"355",196,1268136.91972065,0.00015455744324767
"458",12,317034.148186922,3.7850812187351e-05
"194",174,5072547.67888236,3.43022897003775e-05
"145",18,1268137.04625988,1.41940494941674e-05
"48",179,1268136.91972041,0.000141151950721113
"63",175,1268136.91972059,0.000137997717185427
"295",43,317034.198295325,0.000135632055567534
"18",120,1268136.91972041,9.46270060700201e-05
"282",34,1268136.91972071,2.68109850531661e-05
"150",187,5072547.67888248,3.68651044481059e-05
"414",153,5072547.93196082,3.01623566799608e-05
"95",84,317034.26156491,0.000264955590557841
"327",115,1268136.91972065,9.06842141504189e-05
"409",158,1268137.04625976,0.000124592212226592
"263",107,5072547.67888248,2.10939367697719e-05
"310",132,1268137.04625982,0.000104089696290566
"50",62,1268136.81950366,4.88906236665111e-05
"67",69,5072547.93196094,1.36026314439036e-05
"199",152,5072547.93196034,2.99652170938201e-05
"177",67,4953.66169719771,0.0135253483373525
"182",149,4953.65543362498,0.0300787977679273
"331",97,1268136.91972065,7.64901632399186e-05
"441",142,317034.261564896,0.00044790111737161
"16",50,1268136.91972035,3.94279191958436e-05
"370",110,5072547.93196082,2.16853544757888e-05
"463",233,5072547.93196034,4.59335235714479e-05
"127",100,5072547.67888272,1.97139595979167e-05
"338",162,1268136.91972065,0.000127746458194503
"470",21,1268136.81950349,1.65597273709174e-05
"359",124,5072547.93196046,2.44453086818e-05
"31",80,5072547.67888248,1.57711676783341e-05
"336",121,1268136.81950366,9.54155719943201e-05
"154",122,5072547.67888248,2.40510307094595e-05
"11",33,5072547.47844815,6.50560692437239e-06
"72",16,1268136.91972065,1.2616934142667e-05
"175",52,4953.65543364733,0.0104972985498333
"386",106,5072547.73152697,2.08967969569192e-05
"314",55,317034.26156494,0.000173482827150951
"446",137,1268136.91972041,0.000108032498596606
"143",70,5072547.67888248,1.37997717185423e-05
"43",90,5072547.678882,1.77425636381275e-05
"250",7,1268137.04625976,5.51990813662118e-06
"465",83,1268136.81950349,6.54503510374354e-05
"231",147,1268136.91972059,0.000115918082435758
"450",117,1268137.04625976,9.22613217120968e-05
"99",28,1268137.04625988,2.20796325464826e-05
"363",111,5072547.47844851,2.18824960183419e-05
"87",196,1268136.81950343,0.000154557455461903
"482",240,1268136.91972041,0.00018925401214004
"203",108,5072547.6788826,2.12910763657505e-05
"218",68,5072547.93196046,1.34054918577613e-05
"104",9,317034.198295355,2.83881046536672e-05
"368",73,5072547.73152649,1.43911903571249e-05
"319",98,317034.261564866,0.000309114855650859
"40",124,5072547.73152661,2.44453096477185e-05
"304",73,1268137.04625964,5.7564756281912e-05
"26",108,1268136.91972059,8.51643054630061e-05
"258",150,1268136.91972035,0.000118283757587531
"158",83,5072547.67888248,1.63625864662716e-05
"351",44,5072547.47844863,8.67414256582904e-06
"390",100,1268136.91972035,7.88558383916872e-05
"186",201,79258.5370467752,0.00253600441655109
"55",216,5072547.67888188,4.25821527315071e-05
"114",117,5072547.73152649,2.30653324901865e-05
"401",167,5072547.93196082,3.29223108859703e-05
"171",100,317034.26156503,0.00031542332209255
"139",215,1268137.04625982,0.000169540035624785
"418",73,1268136.91972047,5.75647620259262e-05
"23",245,5072547.67888248,4.82992010148982e-05
"8",214,5072547.73152649,4.21878731017087e-05
"75",102,1268136.81950384,8.04329615158618e-05
"290",147,1268136.81950372,0.0001159180915964
"119",10,5072547.73152649,1.97139593933218e-06
"58",95,5072547.73152661,1.87282614236553e-05
"378",66,1268136.81950366,5.20448574514473e-05
"235",90,5072547.73152697,1.7742563453988e-05
"246",15,1268136.91972065,1.18283757587503e-05
"433",74,1268137.04625976,5.83533145871382e-05
"207",23,1268137.04625976,1.81368410203267e-05
"478",246,5072547.73152691,4.84963401075677e-05
"272",141,5072547.47844875,2.7796684131406e-05
"383",72,5072547.47844803,1.41940514713583e-05
"346",221,5072547.47844887,4.3567852432912e-05
"82",107,1268136.91972059,8.43757470790894e-05
"214",126,5072547.93196034,2.48395878540877e-05
"287",139,1268136.91972071,0.000109609615364414
"151",43,5072547.73152709,8.47700253912738e-06
"300",113,79258.5621009022,0.00142571347504567
"447",61,1268136.91972059,4.81020614189201e-05
"315",102,317034.198295325,0.000321731852741591
"432",72,1268136.91972035,5.67762036420147e-05
"410",67,1268136.91972035,5.28334117224304e-05
"36",117,5072547.47844899,2.30653336409529e-05
"168",80,79258.5370466858,0.00100935499166326
"262",122,5072547.47844803,2.40510316598015e-05
"146",192,1268136.81950343,0.000151403221676966
"30",40,5072547.67888272,7.88558383916668e-06
"51",146,1268137.04625982,0.000115129512563808
"405",70,1268136.81950366,5.51990912363835e-05
"190",0,19814.6342616752,0
"183",91,4953.65543363988,0.0183702724622359
"19",23,1268136.91972065,1.81368428300838e-05
"422",104,5072547.47844887,2.05025187919586e-05
"273",135,5072547.47844791,2.66138465087974e-05
"373",120,5072547.67888248,2.36567515175011e-05
"305",32,1268136.91972071,2.52338682853328e-05
"210",81,5072547.93196082,1.59683064776263e-05
"326",40,1268137.04625985,3.15423322092616e-05
"107",156,317034.211456478,0.000492060460236531
"239",106,317034.26156503,0.000334348721418103
"242",44,317034.198295176,0.000138786289418007
"4",73,1268136.91972071,5.75647620259154e-05
"294",2,317034.26156497,6.30846644185218e-06
"126",65,1268136.94604284,5.12562938906792e-05
"136",193,5072547.93196046,3.80479401257049e-05
"341",113,1268136.91972047,8.91070973825981e-05
"268",65,1268137.04625958,5.1256289840061e-05
"358",154,5072547.47844815,3.03594989804045e-05
"79",90,1268136.81950366,7.09702601610645e-05
"195",80,5072547.93196082,1.57711668914828e-05
"437",37,1268136.81950343,2.91766625106653e-05
"474",65,1268136.91972059,5.1256294954587e-05
"400",110,5072547.47844791,2.16853564145756e-05
"94",147,317034.148186952,0.000463672449295006
"283",7,1268136.91972071,5.51990868741654e-06
"415",41,5072547.47844815,8.08272375452327e-06
"395",132,317034.26156491,0.000416358785162322
"464",155,5072547.67888224,3.05566373767737e-05
"332",153,1268136.91972059,0.000120649432739259
"427",10,317034.198295385,3.15423385040717e-05
"459",118,317034.261564821,0.000372199520069454
"131",91,5072547.67888248,1.7939703234105e-05
"47",171,317034.198295385,0.000539373988419625
"15",124,1268136.91972059,9.77812396056737e-05
"163",2,317034.198295265,6.3084677008167e-06
"200",166,20290190.8208168,8.18129319068266e-06
"68",165,5072547.47844863,3.25280346218589e-05
"62",70,1268137.04625982,5.51990813662092e-05
"178",108,4953.65543365106,0.0218020816034835
"277",147,5072547.47844839,2.89795217540211e-05
"442",54,1268136.91972065,4.25821527315011e-05
"369",225,5072547.67888248,4.43564090953146e-05
"90",55,1268136.91972065,4.33707111154177e-05
"111",24,1268136.81950366,1.89254027096172e-05
"254",175,5072547.47844839,3.44994306595489e-05
"227",5,317034.148186922,1.57711717447296e-05
"322",11,1268136.91972065,8.67414222308355e-06
"486",76,1268136.81950343,5.99304419137991e-05
"337",110,1268136.81950343,8.67414290857618e-05
"122",156,5072547.47844887,3.07537781879379e-05
"469",63,1268136.81950349,4.96791821127522e-05
"354",72,1268136.91972059,5.67762036420041e-05
"83",48,1268136.91972065,3.78508024280009e-05
"309",158,5072547.67888188,3.11480561647135e-05
"215",34,5072547.67888236,6.70274626329215e-06
"222",149,5072547.93196046,2.93737983353888e-05
"454",192,5072547.67888224,3.78508024280036e-05
"364",223,5072547.73152649,4.39621294471077e-05
"232",22,1268136.91972035,1.73482844461712e-05
"100",220,5072547.67888188,4.33707111154239e-05
