
METRICS:::	TS:0	NUM_POINTS:144	ALL_CLUSTERS:615	CLUSTERS_FILTERED:15	CLUSTERS_MERGED:4	AVG_GRID_COUNT:7.500000	
METRICS:::	TS:32	NUM_POINTS:142	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:33	NUM_POINTS:141	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:34	NUM_POINTS:141	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:35	NUM_POINTS:141	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:36	NUM_POINTS:141	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:37	NUM_POINTS:141	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:38	NUM_POINTS:141	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:39	NUM_POINTS:140	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:40	NUM_POINTS:140	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:41	NUM_POINTS:140	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:42	NUM_POINTS:138	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:43	NUM_POINTS:138	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:44	NUM_POINTS:137	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:45	NUM_POINTS:137	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:46	NUM_POINTS:137	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:47	NUM_POINTS:137	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:48	NUM_POINTS:136	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:49	NUM_POINTS:136	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:3.000000	
METRICS:::	TS:50	NUM_POINTS:135	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:51	NUM_POINTS:134	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:52	NUM_POINTS:134	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:53	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:54	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.500000	
METRICS:::	TS:55	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:56	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:57	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:58	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:59	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:60	NUM_POINTS:133	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.500000	
METRICS:::	TS:61	NUM_POINTS:132	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:3.500000	
METRICS:::	TS:62	NUM_POINTS:132	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.000000	
METRICS:::	TS:63	NUM_POINTS:132	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:3.333333	
METRICS:::	TS:64	NUM_POINTS:132	ALL_CLUSTERS:0	CLUSTERS_FILTERED:6	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.666667	
METRICS:::	TS:65	NUM_POINTS:132	ALL_CLUSTERS:0	CLUSTERS_FILTERED:6	CLUSTERS_MERGED:0	AVG_GRID_COUNT:6.500000	
METRICS:::	TS:66	NUM_POINTS:132	ALL_CLUSTERS:3	CLUSTERS_FILTERED:7	CLUSTERS_MERGED:1	AVG_GRID_COUNT:6.500000	
METRICS:::	TS:67	NUM_POINTS:131	ALL_CLUSTERS:11	CLUSTERS_FILTERED:7	CLUSTERS_MERGED:3	AVG_GRID_COUNT:6.500000	
METRICS:::	TS:68	NUM_POINTS:130	ALL_CLUSTERS:9	CLUSTERS_FILTERED:7	CLUSTERS_MERGED:2	AVG_GRID_COUNT:6.500000	
METRICS:::	TS:69	NUM_POINTS:129	ALL_CLUSTERS:10	CLUSTERS_FILTERED:9	CLUSTERS_MERGED:3	AVG_GRID_COUNT:6.500000	
METRICS:::	TS:70	NUM_POINTS:129	ALL_CLUSTERS:2	CLUSTERS_FILTERED:7	CLUSTERS_MERGED:1	AVG_GRID_COUNT:6.500000	
METRICS:::	TS:71	NUM_POINTS:129	ALL_CLUSTERS:3	CLUSTERS_FILTERED:6	CLUSTERS_MERGED:1	AVG_GRID_COUNT:6.000000	
METRICS:::	TS:72	NUM_POINTS:129	ALL_CLUSTERS:0	CLUSTERS_FILTERED:6	CLUSTERS_MERGED:0	AVG_GRID_COUNT:6.000000	
METRICS:::	TS:73	NUM_POINTS:129	ALL_CLUSTERS:0	CLUSTERS_FILTERED:2	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.666667	
METRICS:::	TS:74	NUM_POINTS:128	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.000000	
METRICS:::	TS:75	NUM_POINTS:127	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.000000	
METRICS:::	TS:76	NUM_POINTS:127	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.000000	
METRICS:::	TS:77	NUM_POINTS:127	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:78	NUM_POINTS:126	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:2.000000	
METRICS:::	TS:79	NUM_POINTS:122	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:80	NUM_POINTS:122	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:81	NUM_POINTS:122	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:82	NUM_POINTS:121	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:83	NUM_POINTS:121	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:84	NUM_POINTS:121	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:85	NUM_POINTS:120	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:86	NUM_POINTS:120	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:87	NUM_POINTS:120	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:88	NUM_POINTS:120	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:89	NUM_POINTS:120	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:90	NUM_POINTS:120	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:91	NUM_POINTS:118	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:92	NUM_POINTS:118	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:93	NUM_POINTS:118	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:94	NUM_POINTS:117	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:95	NUM_POINTS:117	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:96	NUM_POINTS:117	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:97	NUM_POINTS:117	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:98	NUM_POINTS:116	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:99	NUM_POINTS:115	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:100	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:101	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:102	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:103	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:104	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:105	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:106	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:107	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:108	NUM_POINTS:114	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:109	NUM_POINTS:112	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:110	NUM_POINTS:112	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:111	NUM_POINTS:112	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.500000	
METRICS:::	TS:112	NUM_POINTS:112	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.500000	
METRICS:::	TS:113	NUM_POINTS:111	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:114	NUM_POINTS:111	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:115	NUM_POINTS:110	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:116	NUM_POINTS:110	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:117	NUM_POINTS:110	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:118	NUM_POINTS:109	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:119	NUM_POINTS:108	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:5.000000	
METRICS:::	TS:120	NUM_POINTS:108	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:121	NUM_POINTS:108	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:122	NUM_POINTS:108	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:4.000000	
METRICS:::	TS:123	NUM_POINTS:107	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:1.000000	
METRICS:::	TS:124	NUM_POINTS:107	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:125	NUM_POINTS:107	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:126	NUM_POINTS:107	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:127	NUM_POINTS:107	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:128	NUM_POINTS:107	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:129	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:130	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:131	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:132	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:133	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:134	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:135	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:136	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:137	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:138	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:139	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:140	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:141	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:142	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:143	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:144	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:145	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:146	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:147	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:148	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:149	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:150	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:151	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:152	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:153	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:154	NUM_POINTS:106	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:155	NUM_POINTS:105	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:156	NUM_POINTS:105	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:157	NUM_POINTS:105	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:158	NUM_POINTS:105	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:159	NUM_POINTS:105	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
METRICS:::	TS:160	NUM_POINTS:105	ALL_CLUSTERS:0	CLUSTERS_FILTERED:0	CLUSTERS_MERGED:0	AVG_GRID_COUNT:-nan	
